pathway	overlap_size	pathway_size	p-value (raw)	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
247.2288	C06424	M+H2O+H[1+]	0.002	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
247.229	C06424	M+H2O+H[1+]	0.0022	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
287.1734	C06424	M+NaCl[1+]	-0.0014	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
228.2107	C06424	M[1+]	0.0018	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
228.2099	C06424	M[1+]	0.001	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
247.2292	C06424	M+H2O+H[1+]	0.0024	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
247.2285	C06424	M+H2O+H[1+]	0.0017	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
287.1728	C06424	M+NaCl[1+]	-0.002	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
247.2278	C06424	M+H2O+H[1+]	0.001	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
287.1729	C06424	M+NaCl[1+]	-0.0019	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
287.1737	C06424	M+NaCl[1+]	-0.0011	Tetradecanoic acid; Tetradecanoate; Myristic acid	Fatty acid activation$De novo fatty acid biosynthesis$Xenobiotics metabolism$Fatty Acid Metabolism
294.2549	CE5350	M-CO2+H[1+]	-0.0005	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2344	CE5350	M-H2O+H[1+]	-0.0002	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
356.2529	CE5350	M+H2O+H[1+]	-0.0029	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
356.2553	CE5350	M+H2O+H[1+]	-0.0005	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
356.253	CE5350	M+H2O+H[1+]	-0.0028	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
360.2262	CE5350	M+Na[1+]	-0.001	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
294.2548	CE5350	M-CO2+H[1+]	-0.0006	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
292.2418	CE5350	M-HCOOH+H[1+]	0.002	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
406.2327	CE5350	M+HCOONa[1+]	0.0001	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2317	CE5350	M-H2O+H[1+]	-0.0029	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
266.2242	CE5350	M-C3H4O2+H[1+]	0.0001	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
406.2342	CE5350	M+HCOONa[1+]	0.0016	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
310.2482	CE5350	M-CO+H[1+]	-0.002	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
360.2271	CE5350	M+Na[1+]	-0.0001	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
294.2545	CE5350	M-CO2+H[1+]	-0.0009	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2325	CE5350	M-H2O+H[1+]	-0.0021	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2343	CE5350	M-H2O+H[1+]	-0.0003	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2332	CE5350	M-H2O+H[1+]	-0.0014	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
338.2428	CE5350	M+H[1+]	-0.0024	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
310.2485	CE5350	M-CO+H[1+]	-0.0017	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.232	CE5350	M-H2O+H[1+]	-0.0026	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
294.255	CE5350	M-CO2+H[1+]	-0.0004	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2327	CE5350	M-H2O+H[1+]	-0.0019	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2342	CE5350	M-H2O+H[1+]	-0.0004	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
302.2232	CE5350	M-H4O2+H[1+]	-0.0008	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
337.2363	CE5350	M[1+]	-0.0016	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2345	CE5350	M-H2O+H[1+]	-0.0001	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2337	CE5350	M-H2O+H[1+]	-0.0009	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
310.2487	CE5350	M-CO+H[1+]	-0.0015	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
338.2432	CE5350	M+H[1+]	-0.002	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2324	CE5350	M-H2O+H[1+]	-0.0022	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
360.2285	CE5350	M+Na[1+]	0.0013	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
360.2292	CE5350	M+Na[1+]	0.002	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
338.2426	CE5350	M+H[1+]	-0.0026	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
376.1985	CE5350	M+K[1+]	-0.0022	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.237	CE5350	M-H2O+H[1+]	0.0024	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2328	CE5350	M-H2O+H[1+]	-0.0018	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.234	CE5350	M-H2O+H[1+]	-0.0006	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
338.2473	CE5350	M+H[1+]	0.0021	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
339.251	CE5350	M(C13)+H[1+]	0.0024	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
302.2224	CE5350	M-H4O2+H[1+]	-0.0016	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
406.2338	CE5350	M+HCOONa[1+]	0.0012	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2346	CE5350	M-H2O+H[1+]	0.0	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
302.2245	CE5350	M-H4O2+H[1+]	0.0005	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2333	CE5350	M-H2O+H[1+]	-0.0013	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
310.2486	CE5350	M-CO+H[1+]	-0.0016	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
310.2484	CE5350	M-CO+H[1+]	-0.0018	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
310.2481	CE5350	M-CO+H[1+]	-0.0021	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2329	CE5350	M-H2O+H[1+]	-0.0017	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
356.2539	CE5350	M+H2O+H[1+]	-0.0019	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
360.2296	CE5350	M+Na[1+]	0.0024	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
270.2552	CE5350	M-HCOONa+H[1+]	-0.0026	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
320.2323	CE5350	M-H2O+H[1+]	-0.0023	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
338.2469	CE5350	M+H[1+]	0.0017	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
302.2234	CE5350	M-H4O2+H[1+]	-0.0006	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
292.2373	CE5350	M-HCOOH+H[1+]	-0.0025	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
406.2324	CE5350	M+HCOONa[1+]	-0.0002	6,7-dihydro-12-epi-LTB4	Leukotriene metabolism
294.2549	CE5352	M-CO2+H[1+]	-0.0005	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2344	CE5352	M-H2O+H[1+]	-0.0002	6,7-dihydro-leukotriene B4	Leukotriene metabolism
356.2529	CE5352	M+H2O+H[1+]	-0.0029	6,7-dihydro-leukotriene B4	Leukotriene metabolism
356.2553	CE5352	M+H2O+H[1+]	-0.0005	6,7-dihydro-leukotriene B4	Leukotriene metabolism
356.253	CE5352	M+H2O+H[1+]	-0.0028	6,7-dihydro-leukotriene B4	Leukotriene metabolism
360.2262	CE5352	M+Na[1+]	-0.001	6,7-dihydro-leukotriene B4	Leukotriene metabolism
294.2548	CE5352	M-CO2+H[1+]	-0.0006	6,7-dihydro-leukotriene B4	Leukotriene metabolism
292.2418	CE5352	M-HCOOH+H[1+]	0.002	6,7-dihydro-leukotriene B4	Leukotriene metabolism
406.2327	CE5352	M+HCOONa[1+]	0.0001	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2317	CE5352	M-H2O+H[1+]	-0.0029	6,7-dihydro-leukotriene B4	Leukotriene metabolism
266.2242	CE5352	M-C3H4O2+H[1+]	0.0001	6,7-dihydro-leukotriene B4	Leukotriene metabolism
406.2342	CE5352	M+HCOONa[1+]	0.0016	6,7-dihydro-leukotriene B4	Leukotriene metabolism
310.2482	CE5352	M-CO+H[1+]	-0.002	6,7-dihydro-leukotriene B4	Leukotriene metabolism
360.2271	CE5352	M+Na[1+]	-0.0001	6,7-dihydro-leukotriene B4	Leukotriene metabolism
294.2545	CE5352	M-CO2+H[1+]	-0.0009	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2325	CE5352	M-H2O+H[1+]	-0.0021	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2343	CE5352	M-H2O+H[1+]	-0.0003	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2332	CE5352	M-H2O+H[1+]	-0.0014	6,7-dihydro-leukotriene B4	Leukotriene metabolism
338.2428	CE5352	M+H[1+]	-0.0024	6,7-dihydro-leukotriene B4	Leukotriene metabolism
310.2485	CE5352	M-CO+H[1+]	-0.0017	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.232	CE5352	M-H2O+H[1+]	-0.0026	6,7-dihydro-leukotriene B4	Leukotriene metabolism
294.255	CE5352	M-CO2+H[1+]	-0.0004	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2327	CE5352	M-H2O+H[1+]	-0.0019	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2342	CE5352	M-H2O+H[1+]	-0.0004	6,7-dihydro-leukotriene B4	Leukotriene metabolism
302.2232	CE5352	M-H4O2+H[1+]	-0.0008	6,7-dihydro-leukotriene B4	Leukotriene metabolism
337.2363	CE5352	M[1+]	-0.0016	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2345	CE5352	M-H2O+H[1+]	-0.0001	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2337	CE5352	M-H2O+H[1+]	-0.0009	6,7-dihydro-leukotriene B4	Leukotriene metabolism
310.2487	CE5352	M-CO+H[1+]	-0.0015	6,7-dihydro-leukotriene B4	Leukotriene metabolism
338.2432	CE5352	M+H[1+]	-0.002	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2324	CE5352	M-H2O+H[1+]	-0.0022	6,7-dihydro-leukotriene B4	Leukotriene metabolism
360.2285	CE5352	M+Na[1+]	0.0013	6,7-dihydro-leukotriene B4	Leukotriene metabolism
360.2292	CE5352	M+Na[1+]	0.002	6,7-dihydro-leukotriene B4	Leukotriene metabolism
338.2426	CE5352	M+H[1+]	-0.0026	6,7-dihydro-leukotriene B4	Leukotriene metabolism
376.1985	CE5352	M+K[1+]	-0.0022	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.237	CE5352	M-H2O+H[1+]	0.0024	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2328	CE5352	M-H2O+H[1+]	-0.0018	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.234	CE5352	M-H2O+H[1+]	-0.0006	6,7-dihydro-leukotriene B4	Leukotriene metabolism
338.2473	CE5352	M+H[1+]	0.0021	6,7-dihydro-leukotriene B4	Leukotriene metabolism
339.251	CE5352	M(C13)+H[1+]	0.0024	6,7-dihydro-leukotriene B4	Leukotriene metabolism
302.2224	CE5352	M-H4O2+H[1+]	-0.0016	6,7-dihydro-leukotriene B4	Leukotriene metabolism
406.2338	CE5352	M+HCOONa[1+]	0.0012	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2346	CE5352	M-H2O+H[1+]	0.0	6,7-dihydro-leukotriene B4	Leukotriene metabolism
302.2245	CE5352	M-H4O2+H[1+]	0.0005	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2333	CE5352	M-H2O+H[1+]	-0.0013	6,7-dihydro-leukotriene B4	Leukotriene metabolism
310.2486	CE5352	M-CO+H[1+]	-0.0016	6,7-dihydro-leukotriene B4	Leukotriene metabolism
310.2484	CE5352	M-CO+H[1+]	-0.0018	6,7-dihydro-leukotriene B4	Leukotriene metabolism
310.2481	CE5352	M-CO+H[1+]	-0.0021	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2329	CE5352	M-H2O+H[1+]	-0.0017	6,7-dihydro-leukotriene B4	Leukotriene metabolism
356.2539	CE5352	M+H2O+H[1+]	-0.0019	6,7-dihydro-leukotriene B4	Leukotriene metabolism
360.2296	CE5352	M+Na[1+]	0.0024	6,7-dihydro-leukotriene B4	Leukotriene metabolism
270.2552	CE5352	M-HCOONa+H[1+]	-0.0026	6,7-dihydro-leukotriene B4	Leukotriene metabolism
320.2323	CE5352	M-H2O+H[1+]	-0.0023	6,7-dihydro-leukotriene B4	Leukotriene metabolism
338.2469	CE5352	M+H[1+]	0.0017	6,7-dihydro-leukotriene B4	Leukotriene metabolism
302.2234	CE5352	M-H4O2+H[1+]	-0.0006	6,7-dihydro-leukotriene B4	Leukotriene metabolism
292.2373	CE5352	M-HCOOH+H[1+]	-0.0025	6,7-dihydro-leukotriene B4	Leukotriene metabolism
406.2324	CE5352	M+HCOONa[1+]	-0.0002	6,7-dihydro-leukotriene B4	Leukotriene metabolism
269.2711	C02198	M-HCOOK+H[1+]	0.0001	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
371.2443	C02198	M+H2O+H[1+]	0.0014	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
371.245	C02198	M+H2O+H[1+]	0.0021	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2383	C02198	M(C13)+H[1+]	0.0026	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
352.2257	C02198	M[1+]	0.0007	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2377	C02198	M(C13)+H[1+]	0.002	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2381	C02198	M(C13)+H[1+]	0.0024	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.238	C02198	M(C13)+H[1+]	0.0023	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2376	C02198	M(C13)+H[1+]	0.0019	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2363	C02198	M(C13)+H[1+]	0.0006	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2372	C02198	M(C13)+H[1+]	0.0015	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
437.1901	C02198	M+HCOOK[1+]	-0.0035	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
352.2241	C02198	M[1+]	-0.0009	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
437.19	C02198	M+HCOOK[1+]	-0.0036	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
371.2448	C02198	M+H2O+H[1+]	0.0019	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
317.2115	C02198	M-H4O2+H[1+]	0.0004	Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
342.2373	CE6232	M-CO+H[1+]	-0.0027	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
370.2384	CE6232	M+H[1+]	0.0034	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2459	CE6232	M-CO2+H[1+]	0.0007	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2443	CE6232	M-CO2+H[1+]	-0.0009	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
438.2201	CE6232	M+HCOONa[1+]	-0.0023	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2447	CE6232	M-CO2+H[1+]	-0.0005	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
370.2324	CE6232	M+H[1+]	-0.0026	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
298.2151	CE6232	M-C3H4O2+H[1+]	0.0012	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.2452	CE6232	M-HCOONa+H[1+]	-0.0024	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2452	CE6232	M-CO2+H[1+]	0.0	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.212	CE6232	M-H4O2+H[1+]	-0.0018	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.2446	CE6232	M-HCOONa+H[1+]	-0.003	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2149	CE6232	M-H4O2+H[1+]	0.0011	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
352.2241	CE6232	M-H2O+H[1+]	-0.0003	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2168	CE6232	M-H4O2+H[1+]	0.003	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.2448	CE6232	M-HCOONa+H[1+]	-0.0028	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2432	CE6232	M-CO2+H[1+]	-0.002	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2163	CE6232	M-H4O2+H[1+]	0.0025	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
352.2257	CE6232	M-H2O+H[1+]	0.0013	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.216	CE6232	M-H4O2+H[1+]	0.0022	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
369.2273	CE6232	M[1+]	-0.0004	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
438.2255	CE6232	M+HCOONa[1+]	0.0031	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2125	CE6232	M-H4O2+H[1+]	-0.0013	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.2449	CE6232	M-HCOONa+H[1+]	-0.0027	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
342.2381	CE6232	M-CO+H[1+]	-0.0019	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.247	CE6232	M-CO2+H[1+]	0.0018	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
342.2382	CE6232	M-CO+H[1+]	-0.0018	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
342.2396	CE6232	M-CO+H[1+]	-0.0004	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
342.238	CE6232	M-CO+H[1+]	-0.002	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
428.1926	CE6232	M+NaCl[1+]	-0.001	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2464	CE6232	M-CO2+H[1+]	0.0012	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
324.228	CE6232	M-HCOOH+H[1+]	-0.0016	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2148	CE6232	M-H4O2+H[1+]	0.001	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.245	CE6232	M-CO2+H[1+]	-0.0002	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2458	CE6232	M-CO2+H[1+]	0.0006	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2462	CE6232	M-CO2+H[1+]	0.001	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2445	CE6232	M-CO2+H[1+]	-0.0007	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
388.2421	CE6232	M+H2O+H[1+]	-0.0035	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
342.2377	CE6232	M-CO+H[1+]	-0.0023	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.217	CE6232	M-H4O2+H[1+]	0.0032	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2119	CE6232	M-H4O2+H[1+]	-0.0019	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2151	CE6232	M-H4O2+H[1+]	0.0013	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2434	CE6232	M-CO2+H[1+]	-0.0018	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2453	CE6232	M-CO2+H[1+]	0.0001	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2461	CE6232	M-CO2+H[1+]	0.0009	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2147	CE6232	M-H4O2+H[1+]	0.0009	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2444	CE6232	M-CO2+H[1+]	-0.0008	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
370.2342	CE6232	M+H[1+]	-0.0008	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.243	CE6232	M-CO2+H[1+]	-0.0022	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.246	CE6232	M-CO2+H[1+]	0.0008	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
324.2318	CE6232	M-HCOOH+H[1+]	0.0022	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
334.2156	CE6232	M-H4O2+H[1+]	0.0018	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.2447	CE6232	M-HCOONa+H[1+]	-0.0029	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
371.2352	CE6232	M(C13)+H[1+]	-0.0032	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2467	CE6232	M-CO2+H[1+]	0.0015	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.245	CE6232	M-HCOONa+H[1+]	-0.0026	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
326.2437	CE6232	M-CO2+H[1+]	-0.0015	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
302.2451	CE6232	M-HCOONa+H[1+]	-0.0025	prostaglandin G1	Prostaglandin formation from dihomo gama-linoleic acid
354.2426	C14782	M[1+]	0.002	11,12,15-THETA; 11,12,15-Trihydroxyicosatrienoic acid; (5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyeicosa-5,8,12-trienoic acid; (5Z,8Z,13E)-(15S)-11,12,15-Trihydroxyicosa-5,8,12-trienoic acid	Arachidonic acid metabolism
